,filter,Report Date,Monthly_Goals_Adds,YTD_Goals_Adds
0,Nationwide,2021-01-31,0,0
1,Nationwide,2021-02-28,0,0
2,Nationwide,2021-03-31,175,175
3,Nationwide,2021-04-30,175,350
4,Nationwide,2021-05-31,175,525
5,Nationwide,2021-06-30,175,700
6,Nationwide,2021-07-31,0,700
7,Nationwide,2021-08-31,0,700
8,Nationwide,2021-09-30,0,700
9,Nationwide,2021-10-31,0,700
10,Nationwide,2021-11-30,0,700
11,Nationwide,2021-12-31,0,700
12,Nationwide,2022-01-31,0,0
13,Nationwide,2022-02-28,0,0
14,Nationwide,2022-03-31,0,0
15,Nationwide,2022-04-30,0,0
16,Nationwide,2022-05-31,0,0
17,Nationwide,2022-06-30,0,0
18,Nationwide,2022-07-31,0,0
19,Nationwide,2022-08-31,0,0
20,Nationwide,2022-09-30,0,0
21,Nationwide,2022-10-31,0,0
22,Nationwide,2022-11-30,0,0
23,Nationwide,2022-12-31,0,0
