,report_date,Discount of Adds
0,01-31-2021,0.3981000139157361
1,02-28-2021,0.39810001391573596
2,03-31-2021,0.3981000139157357
3,04-30-2021,0.39810001391573563
4,05-31-2021,0.3981000139157357
5,06-30-2021,0.3981000139157358
6,07-31-2021,0.39810001391573585
7,08-31-2021,0.3981000139157356
8,09-30-2021,0.39810001391573596
9,10-31-2021,0.39810001391573563
10,11-30-2021,0.39810001391573574
11,12-31-2021,0.39810001391573563
12,01-31-2020,
13,02-29-2020,
14,03-31-2020,
15,04-30-2020,
16,05-31-2020,
17,06-30-2020,
18,07-31-2020,
19,08-31-2020,
20,09-30-2020,
21,10-31-2020,
22,11-30-2020,
23,12-31-2020,
24,01-31-2022,0.42120495908112315
25,02-28-2022,0.42120495908112315
26,03-31-2022,0.42120495908112315
27,04-30-2022,0.42120495908112315
28,05-31-2022,0.42120495908112315
29,06-30-2022,0.42120495908112315
30,07-31-2022,0.42120495908112315
31,08-31-2022,0.42120495908112315
32,09-30-2022,0.42120495908112315
33,10-31-2022,0.42120495908112315
34,11-30-2022,0.42120495908112315
35,12-31-2022,0.42120495908112315
